header1,header2,data length,command,control,Normal Speed,Angle Stepping,Speed Up Time,Speed Up Unit,Speed Down Time,Speed Down Unit,Lift Control (0-3),Special flag,max speed,min speed,Target X,Target Y,Target Angle,Current X,Current Y,Current Angle,PID_P ,PID_I ,PID_D ,PID_Gain,PID Control Time,Volume Melody,PID Activate Error Value,Condition,End command,Target end command,Traffic,Remote CF,Reveres,Delay,PID2_P(Free) ,PID2_I_Low(Free) ,Area Sensor Front,Area Sensor Right,Area Sensor Left,PID2_Gain(Free),maproute
AA,55,57,1,2,400,0,0,0,0,0,1,0,30,30,0,113250,0,,,,3,0,1,1,10,20,0,1,1,50800,0,0,0,0,1,0,5,6,6,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,-85000,0,0,0,0,1,0,4,4,4,1,1
AA,55,57,1,1,600,0,0,0,0,0,1,0,30,30,52300,0,0,,,,3,0,1,1,10,20,0,2,2,105800,0,0,0,0,1,0,7,7,7,1,1
AA,55,57,1,1,400,0,0,0,0,0,1,0,30,30,52300,0,0,,,,3,0,1,1,10,20,0,2,2,104000,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,4,4,500,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,-3000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,2,600,0,0,0,0,0,1,0,30,30,0,103400,0,,,,3,0,1,1,10,20,0,1,1,72360,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,2,300,0,0,0,0,0,1,0,30,30,0,103400,0,,,,3,0,1,1,10,20,0,1,1,74800,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,1,2,200,0,0,0,0,0,1,0,30,30,0,103400,0,,,,3,0,1,1,10,20,0,1,1,76255,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,1,2,0,0,0,0,0,0,1,0,30,30,0,103400,0,,,,3,0,1,1,10,20,0,1,1,74360,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,3,4,500,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,-82000,0,0,0,0,1,0,1,1,1,1,1
AA,55,57,2,1,400,0,0,0,0,0,1,1,30,30,73325,0,-90000,,,,15,0,8,1,10,20,0,1,2,100000,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,2,1,250,0,0,0,0,0,1,1,30,30,75025,0,-90000,,,,15,0,8,1,10,20,0,1,2,103100,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,2,1,220,0,0,0,0,0,1,1,30,30,75025,0,-90000,,,,15,0,8,1,10,20,0,1,2,111350,0,0,1,0,1,0,1,0,0,1,1
AA,55,57,2,1,0,0,0,0,0,0,3,1,30,30,75025,0,-90000,,,,15,0,8,1,10,20,0,1,2,103500,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,1,1,0,0,0,0,0,0,3,0,30,30,75150,0,0,,,,3,0,1,1,10,20,0,1,2,103500,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,1,1,300,0,0,0,0,0,3,0,30,30,75150,0,0,,,,3,0,1,1,10,20,0,2,2,104000,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,1,1,250,0,0,0,0,0,3,0,30,30,75150,0,0,,,,3,0,1,1,10,20,0,2,2,102800,0,0,0,0,1,0,3,3,3,1,1
AA,55,57,1,1,0,0,0,0,0,0,3,0,30,30,75150,0,0,,,,3,0,1,1,10,20,0,2,2,103300,0,0,0,0,1,0,1,1,1,1,1
AA,55,57,1,1,0,0,0,0,0,0,1,0,30,30,75150,0,0,,,,3,0,1,1,10,20,0,2,2,103600,0,0,0,5,1,0,1,1,1,1,1
AA,55,57,4,4,500,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,-20000,0,0,0,0,1,0,1,1,1,1,1
AA,55,57,1,2,800,0,0,0,0,0,1,0,30,30,0,103800,0,,,,3,0,1,1,10,20,0,1,1,75200,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,1,2,400,0,0,0,0,0,1,0,30,30,0,103300,0,,,,3,0,1,1,10,20,0,1,1,79700,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,3,4,500,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,-80000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,1,800,0,0,0,0,0,1,0,30,30,79800,0,0,,,,3,0,1,1,10,20,0,2,2,85000,0,0,0,0,1,0,7,7,7,1,1
AA,55,57,1,1,400,0,0,0,0,0,1,0,30,30,79800,0,0,,,,3,0,1,1,10,20,0,2,2,81950,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,4,4,400,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,-3000,0,0,0,0,1,0,1,1,1,1,1
AA,55,57,1,2,600,0,0,0,0,0,1,0,30,30,0,81700,0,,,,3,0,1,1,10,20,0,1,1,79000,0,0,0,0,1,0,5,4,4,1,1
AA,55,57,1,2,600,0,0,0,0,0,1,0,30,30,0,82000,0,,,,3,0,1,1,10,20,0,1,1,90000,0,0,0,0,1,0,5,4,4,1,1
AA,55,57,1,2,350,0,0,0,0,0,1,0,30,30,0,82000,0,,,,3,0,1,1,10,20,0,1,1,91000,0,0,0,0,1,0,5,4,4,1,1
AA,55,57,1,2,200,0,0,0,0,0,1,0,30,30,0,82000,0,,,,3,0,1,1,10,20,0,1,1,92750,0,0,0,0,1,0,5,4,4,1,1
AA,55,57,1,2,0,0,0,0,0,0,3,0,30,30,0,82000,0,,,,3,0,1,1,10,20,0,1,1,92000,0,0,0,3,1,0,4,4,4,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,3,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,-85000,0,0,0,1,1,0,2,2,2,1,1
AA,55,57,2,1,400,0,0,0,0,0,3,1,30,30,89800,0,-90000,,,,15,0,8,1,10,20,0,1,2,70500,0,0,0,0,1,0,1,1,1,1,1
